Fecha,Hora,🌡 Temp (°C),💧 Humedad (%),🌧 Lluvia (mm),💨 Viento (km/h),
22/10/2025,08:00,21.3,78.7,5.3,14.1,
22/10/2025,09:00,28.6,41.1,9.6,9,
22/10/2025,10:00,29,52.7,2.3,13.5,
22/10/2025,11:00,21.4,45.1,7.2,16.6,
22/10/2025,12:00,25.8,71.9,0.6,9.5,
22/10/2025,13:00,28.8,78,0.1,19,
22/10/2025,14:00,22.7,51.8,9.9,17.2,
22/10/2025,15:00,29.7,68.7,1.1,19.1,
22/10/2025,16:00,26.2,45.2,7.7,5.9,
22/10/2025,17:00,26.7,56.1,3.7,20.8,
23/10/2025,18:00,29.5,60.4,2.4,30.6,
24/10/2025,19:00,30.3,54.8,6.9,27.8,
25/10/2025,20:00,24.8,48.9,5.1,26.5,
